firstName,lastName,nickname,dateOfBirth,nationality,gender,weightClass,stance,gym,headCoach,team,fightingOutOf,height,reach,legReach,wins,losses,draws,nc,organization,ranking,isChampion,imageUrl,performance_slpm,performance_strAcc,performance_sapm,performance_strDef,performance_tdAvg,performance_tdAcc,performance_tdDef,performance_subAvg,performance_koTkoWinPct,performance_submissionWinPct,performance_decisionWinPct,socialMedia_twitter,socialMedia_instagram,socialMedia_website,ko_wins,submission_wins,decision_wins,losses_by_ko,losses_by_submission,losses_by_decision,BIO,Weight
Myktybek,Orolbai,,1998-02-10T00:00:00.000Z,Kyrgyzstan,Male,Welterweight,Orthodox,Uluu Kyrgyz Team,,,"Osh, Kyrgyzstan",70,74,,15,2,1,0,UFC,24,FALSE,,3.24,0.48,,,,,,0.47,0.4,0.13,,,7,6,2,0,0,2,,,,170 lb
Bradley,Tavares,,1987-12-21T00:00:00.000Z,United States,Male,Middleweight,Orthodox,Xtreme Couture,,,"Las Vegas, Nevada, United States",73,74,,21,11,0,0,UFC,48,FALSE,,3.42,0.43,3.36,0.54,0.73,0.26,0.81,0,0.24,0.1,0.66,,,5,2,14,6,0,5,,,185 lb
Eryk,Anders,Ya Boi,1987-04-21T00:00:00.000Z,"San Antonio, Texas",Male,Middleweight,Southpaw,Spartan Fitness MMA,,,"Birmingham, Alabama",73,75,,17,9,0,1,UFC,35,FALSE,,3.51,0.48,,,,,,0.59,0.06,0.35,,,10,1,6,2,1,6,,,,185 lb
Charles,Johnson,InnerG,1991-01-10T00:00:00.000Z,United States,Male,Flyweight,Switch,Tiger Muay Thai,,,"St. Louis, Missouri, United States",69,70,,18,8,0,0,UFC,22,FALSE,,4.68,0.49,3.94,0.56,0.55,0.2,0.66,0.4,0.39,0.22,0.39,,,7,4,7,1,0,7,,,125 lb
Bruno,Silva,Bulldog,1990-03-16T00:00:00.000Z,,Male,Flyweight,Orthodox,,,,,64,65,,15,7,2,1,UFC,,FALSE,,3.82,0.5,4.55,0.52,2.3,0.29,0.63,0.3,0.4,0.33,0.27,,,6,5,4,3,1,3,,,125 lb
Vitor,Petrino,,1997-08-28T00:00:00.000Z,Brazil,Male,Heavyweight,Orthodox,CM System,,,"Santa Luzia, Minas Gerais, Brazil",74,77,,13,2,0,0,UFC,16,FALSE,,2.75,0.46,2.48,0.47,3.04,0.51,0.79,0.8,0.62,0.15,0.23,,,8,2,3,1,1,0,,,265 lb
Steven,Asplund,Concrete,1998-07-16T00:00:00.000Z,United States,Male,Heavyweight,Orthodox,McCune's Martial Arts,,,"Minneapolis, Minnesota, United States",77,78,,7,1,0,0,UFC,26,FALSE,,19.93,0.58,7.49,0.57,0,0,1,0,0.86,0,0.14,,,6,0,1,0,1,0,,,265 lb
Marwan,Rahiki,Freaky,2002-05-10T00:00:00.000Z,Morocco,Male,Featherweight,Orthodox,Lions Den Academy,,,"Sydney, Australia",68,72,,7,0,0,0,UFC,,FALSE,,5.96,0.47,6.1,0.56,0,0,1,2.1,0.86,0.14,0,,,6,1,0,0,0,0,,,145 lb
Harry,Hardwick,Houdini,1994-09-29T00:00:00.000Z,England,Male,Lightweight,Switch,Middlesbrough Fight Academy,,,"Middlesbrough, England",68,71,,13,4,1,0,UFC,85,FALSE,,2.39,0.34,7.16,0.4,0,0,0,0,0.23,0.31,0.46,,,3,4,6,1,1,2,,,155 lb
Andre,Fili,Touchy,1990-06-25T00:00:00.000Z,United States,Male,Featherweight,Orthodox,Team Alpha Male,,,"Sacramento, California, United States",71,74,,25,12,0,1,UFC,38,FALSE,,3.87,0.37,4.23,0.51,2.22,0.45,0.71,0.2,0.4,0.12,0.48,,,10,3,12,4,3,5,,,145 lb
Jose,Delgado,,1998-04-21T00:00:00.000Z,United States,Male,Featherweight,Switch,MMA Lab,,,"Phoenix, Arizona, United States",71,74,,10,2,0,0,UFC,36,FALSE,,8.22,0.54,5.44,0.47,1.81,0.42,0.6,0,0.6,0.4,0,,,6,4,0,0,0,2,,,145 lb
Ion,Cutelaba,The Hulk,1993-12-14T00:00:00.000Z,Moldova,Male,Light Heavyweight,Southpaw,Xtreme Couture,,,"Las Vegas, Nevada",73,75,,19,11,1,1,UFC,21,FALSE,,4.26,0.43,3.34,0.47,3.77,0.49,0.75,,0.68,0.16,0.16,,,13,3,3,3,4,3,,,205 lb
Oumar,Sy,,1995-11-21T00:00:00.000Z,France,Male,Light Heavyweight,Orthodox,Bulgarian Top Team,,,"Paris, France",76,83,,12,1,0,0,UFC,19,FALSE,,3.67,0.48,1.72,0.7,2.73,0.36,1,0.4,0.42,0.33,0.25,,,5,4,3,0,0,1,,,205 lb
Amanda,Lemos,,1987-05-22T00:00:00.000Z,Brazil,Female,Women's Strawweight,Southpaw,Marajó Brothers Team,,,"Belem, Para, Brazil",64,65,,15,5,1,0,UFC,7,FALSE,,2.75,0.55,3.24,0.49,,,0.53,0.2,0.27,,,8,3,4,1,2,2,,,,,115 lb
Gillian,Robertson,The Savage,1995-05-17T00:00:00.000Z,Canada,Female,Strawweight,Orthodox,The Goat Shed Academy,,,"Port Saint Lucie, Florida",65,63,,16,8,0,0,UFC,9,FALSE,,2.86,0.48,2.86,0.56,2.74,0.4,0.41,0.9,0.19,0.56,0.25,,,3,9,4,1,1,6,,,115 lb
Josh,Emmett,CC0,1985-03-04T00:00:00.000Z,United States,Male,Featherweight,Orthodox,Team Alpha Male,,,"Sacramento, California, United States",66,70,,19,6,0,0,UFC,16,FALSE,,3.72,0.35,4.43,0.6,1.08,0.37,0.43,0.1,0.37,0.11,0.52,,,7,2,10,1,2,3,,,145 lb
Kevin,Vallejos,El Chino,2001-12-08T00:00:00.000Z,Argentina,Male,Featherweight,Switch,Brothers of Life MMA,,,"Mar del Plata, Buenos Aires, Argentina",67,68,,17,1,0,0,UFC,20,FALSE,,5.78,0.46,,,,,0.71,0.12,0.18,,,12,2,3,0,0,1,,,,,145 lb
